Project Name;Project Path;Images Folder;Image Name;Temp Folder;Temp Folder Ellipses;Temp Folder Crop;Temp Folder PreProcessing;Temp Folder KP and Desc;Temp Folder Mask;Minor Axis;Major Axis;Center X;Center Y;Angle
DS8 - test2;D:\BDD MONNAIES JUILLAC\TEST_PRE_GITLAB\TEST_NEW_FORMAT\DS8 - test2;IMAGES;11799-R.jpg;TEMP;ELLIPSES;CROP;PREPROC;KP AND DESC;MASK;471.1499328613281;429.50677490234375;392.5650634765625;394.9603576660156;95.14285278320312
DS8 - test2;D:\BDD MONNAIES JUILLAC\TEST_PRE_GITLAB\TEST_NEW_FORMAT\DS8 - test2;IMAGES;12258-R.jpg;TEMP;ELLIPSES;CROP;PREPROC;KP AND DESC;MASK;413.5446472167969;396.71142578125;374.8607177734375;387.8330993652344;28.157028198242188
DS8 - test2;D:\BDD MONNAIES JUILLAC\TEST_PRE_GITLAB\TEST_NEW_FORMAT\DS8 - test2;IMAGES;14433-R.jpg;TEMP;ELLIPSES;CROP;PREPROC;KP AND DESC;MASK;414.720703125;410.90240478515625;381.8662414550781;399.6971130371094;179.208984375
DS8 - test2;D:\BDD MONNAIES JUILLAC\TEST_PRE_GITLAB\TEST_NEW_FORMAT\DS8 - test2;IMAGES;14582-R.jpg;TEMP;ELLIPSES;CROP;PREPROC;KP AND DESC;MASK;435.7726745605469;384.1763000488281;365.8447570800781;377.10870361328125;49.7835578918457
DS8 - test2;D:\BDD MONNAIES JUILLAC\TEST_PRE_GITLAB\TEST_NEW_FORMAT\DS8 - test2;IMAGES;18051-R.jpg;TEMP;ELLIPSES;CROP;PREPROC;KP AND DESC;MASK;429.9027404785156;391.0188903808594;411.0271301269531;425.31231689453125;165.65240478515625
DS8 - test2;D:\BDD MONNAIES JUILLAC\TEST_PRE_GITLAB\TEST_NEW_FORMAT\DS8 - test2;IMAGES;18519-R.jpg;TEMP;ELLIPSES;CROP;PREPROC;KP AND DESC;MASK;411.6932067871094;392.7698059082031;418.6916198730469;394.0547790527344;55.848636627197266
DS8 - test2;D:\BDD MONNAIES JUILLAC\TEST_PRE_GITLAB\TEST_NEW_FORMAT\DS8 - test2;IMAGES;32307-R.jpg;TEMP;ELLIPSES;CROP;PREPROC;KP AND DESC;MASK;447.5089416503906;376.10009765625;387.46368408203125;438.5160217285156;92.34127044677734
DS8 - test2;D:\BDD MONNAIES JUILLAC\TEST_PRE_GITLAB\TEST_NEW_FORMAT\DS8 - test2;IMAGES;32396-R.jpg;TEMP;ELLIPSES;CROP;PREPROC;KP AND DESC;MASK;480.3822937011719;442.5411071777344;399.3287048339844;404.0937194824219;13.684752464294434
DS8 - test2;D:\BDD MONNAIES JUILLAC\TEST_PRE_GITLAB\TEST_NEW_FORMAT\DS8 - test2;IMAGES;32734-R.jpg;TEMP;ELLIPSES;CROP;PREPROC;KP AND DESC;MASK;447.2003173828125;415.6506042480469;417.0596618652344;399.5736999511719;166.2008819580078
DS8 - test2;D:\BDD MONNAIES JUILLAC\TEST_PRE_GITLAB\TEST_NEW_FORMAT\DS8 - test2;IMAGES;33066-R.jpg;TEMP;ELLIPSES;CROP;PREPROC;KP AND DESC;MASK;429.29962158203125;417.7530517578125;399.9595947265625;360.1668701171875;25.573999404907227
DS8 - test2;D:\BDD MONNAIES JUILLAC\TEST_PRE_GITLAB\TEST_NEW_FORMAT\DS8 - test2;IMAGES;33784-R.jpg;TEMP;ELLIPSES;CROP;PREPROC;KP AND DESC;MASK;438.379638671875;423.89862060546875;385.5445556640625;367.8297119140625;99.881591796875
DS8 - test2;D:\BDD MONNAIES JUILLAC\TEST_PRE_GITLAB\TEST_NEW_FORMAT\DS8 - test2;IMAGES;36504-R.jpg;TEMP;ELLIPSES;CROP;PREPROC;KP AND DESC;MASK;419.3161315917969;405.86944580078125;402.2110290527344;419.20111083984375;88.97838592529297
DS8 - test2;D:\BDD MONNAIES JUILLAC\TEST_PRE_GITLAB\TEST_NEW_FORMAT\DS8 - test2;IMAGES;38191-R.jpg;TEMP;ELLIPSES;CROP;PREPROC;KP AND DESC;MASK;419.7485656738281;395.99407958984375;397.85748291015625;403.17633056640625;78.80862426757812
DS8 - test2;D:\BDD MONNAIES JUILLAC\TEST_PRE_GITLAB\TEST_NEW_FORMAT\DS8 - test2;IMAGES;38491-R.jpg;TEMP;ELLIPSES;CROP;PREPROC;KP AND DESC;MASK;439.2718200683594;408.4357604980469;379.06378173828125;427.05841064453125;106.61891174316406
DS8 - test2;D:\BDD MONNAIES JUILLAC\TEST_PRE_GITLAB\TEST_NEW_FORMAT\DS8 - test2;IMAGES;39861-R.jpg;TEMP;ELLIPSES;CROP;PREPROC;KP AND DESC;MASK;423.5160827636719;402.9060974121094;403.9640197753906;407.5874938964844;79.131103515625
DS8 - test2;D:\BDD MONNAIES JUILLAC\TEST_PRE_GITLAB\TEST_NEW_FORMAT\DS8 - test2;IMAGES;40196-R.jpg;TEMP;ELLIPSES;CROP;PREPROC;KP AND DESC;MASK;441.52362060546875;426.68408203125;416.05072021484375;388.25634765625;47.43391799926758
DS8 - test2;D:\BDD MONNAIES JUILLAC\TEST_PRE_GITLAB\TEST_NEW_FORMAT\DS8 - test2;IMAGES;5713-R.jpg;TEMP;ELLIPSES;CROP;PREPROC;KP AND DESC;MASK;412.7320251464844;375.6870422363281;398.7085876464844;390.7578430175781;32.397125244140625
